ID,ETA
000V4BQX,1356.7766583903476
003WBC5J,801.5461235518445
004O4X3A,1100.0854311296002
006CEI5B,1789.222448091648
009G0M2T,680.0334354766862
00A3ZHHB,450.0401006991333
00BRKED8,908.3352308542406
00F6T3BP,868.4021854339127
00HN6E8I,1562.5877590394077
00HS3XXF,512.8988210291288
00I2LQXB,1549.9634159425825
00L8B0SE,1236.9175731488835
00OWTXZD,607.8763903611839
00PNEC3Z,1919.1008420831981
00R4O0RU,1429.9533186295853
00UN3NTN,669.1444841172325
00VNR98C,963.0099761026115
00WNC10D,2665.8841018249514
00XN24ZZ,1550.7270671464676
00XUV5ZA,263.72449884446974
00XYODZY,1914.5145056994536
00Y55WG1,803.0388934187745
00Z2KCDZ,1612.3884894549196
00ZZRLPD,1437.0698925070349
010YSNCO,567.8740424204364
012RRJ0R,999.5297401709337
012V36NR,1650.6490889172671
014PL5HN,922.990196648992
017DQTZ5,1539.5676317485622
019LKXYD,541.5662735046699
01BFEF3D,1586.1731289491079
01F3EMGD,1742.8175784835944
01F56BTX,695.4252950407811
01F5WFIJ,663.1013704672336
01HMMFP3,1163.691100025648
01IHFY2V,1366.1766636002085
01JM9RTG,807.0634587030819
01KDGA66,1716.231937692524
01KUEVC1,313.0670184685214
01LFCY6Z,2939.2065534107737
01LZ4P3C,2659.179830830992
01M0W4B4,1333.8756859678342
01MEWIXE,1306.27919473357
01NBG1SI,1233.0540112084477
01O3DI4E,534.595375822831
01OZ7SN8,861.9808557564052
01P9UDI0,890.0755823193555
01QFQ7LR,461.50370727422313
01QH2MKZ,840.1838587126173
01QVEQBG,1115.4743113974268
01T7QMDR,1885.3285834699143
01V9XYE3,1543.4299167372099
01VG75BO,930.5824614560795
01VGB3CZ,2228.329886380353
01VQFSVE,1716.1028099946707
021D1H50,490.8257598280402
024IZALO,564.1412195270859
025SHTKR,1368.5553076750732
02C4QT1S,390.42227007542493
02DLUXW8,1309.9607166555115
02DVTSHX,554.1640925120615
02GRBULM,1304.2994796705295
02HQP80U,1368.4383934459054
02IIEJ0Y,2034.591142970959
02OAKS3W,1597.2135489653253
02PE735S,1226.328401808458
02RVJ3NX,1135.4985282064492
02YGVXX0,445.6002686264093
02Z6J93C,1001.7516373225699
02ZBMA6T,1213.7104753672954
030W4UC5,1274.0121309010915
031BTSPP,665.1922049713813
0345CSH2,1999.7439010449316
035KDW25,1784.4742019457683
0370TUOH,1324.677825127234
037DEX64,997.3969272290631
0385UYE7,1114.3566787344173
0394NO1C,464.44661889249716
03B57WF0,1738.7787163160287
03D0CZ12,1599.8589841017522
03DV7DSY,2081.6963273555475
03F9MKMS,792.1724665701282
03FFU7QC,619.1137694432806
03FT8UJ5,1406.8064655534658
03GIAKYC,482.8160585777282
03GSIPUW,1364.5433459522365
03H42QBA,542.7200055897111
03HEO6XD,945.3328120052263
03HUWDQT,1129.5280471653089
03I2XAUZ,1112.3165397208209
03P3BRWX,782.8438848039939
03R3QV2D,702.8076143527801
03SQRSGA,1364.9392144923468
03SQX4SO,977.1702145362706
03T7B0MV,611.4782132230295
03U3P3FB,262.13815732397927
03Y93852,507.3301413687303
03ZJ8ZHS,950.0291767378504
03ZJ8ZJA,632.8979444057027
0410QY1K,1450.995583001088
04203XSD,1510.8668647566471
04297MV1,1481.038364250356
043KMKMQ,653.6028289429066
043LIIF0,999.3167814857103
045FUDR0,1098.3426106275904
046H1KPZ,1217.6840827094152
047A0334,1356.4036882860314
0483RWEL,1659.4394873239823
048JNP3Y,862.3069634976823
049MGBP6,1470.2079636021792
04ALZ8PR,729.5611127026576
04C92Z98,1772.1015442748542
04DHDCN5,917.3820427740408
04DOLWSF,1202.3544192751892
04FDOX33,832.7784912321002
04G16WNM,1210.6782947495244
04HZ0DVV,1210.5328990068417
04JH359S,1463.2097749572329
04M8VYZA,800.4082348763028
04MS371O,552.3523110034762
04NL4S6Z,981.2689084080125
04P3DVRW,2231.625965258871
04PHPOGP,1055.0130042459375
04PM33GH,507.03415306424387
04SCJP4H,131.0427072241688
04TTIGV6,1266.6692128862437
04UKKGIP,1143.899125471937
04VP0UUG,1168.351547562659
04VV9DUW,522.0463036041867
04WUDZZ4,933.326398513566
04Z9M7UQ,570.3767865428596
050HHQ31,1119.589611638477
053AB5JI,1089.2031874035263
053ZR9JQ,1149.1236313520415
055K1UOL,763.0396340551421
056RDD4X,425.7251564516764
056SJDYU,479.65942997112944
058WM88J,1318.585374963073
05A66KX5,609.178489932604
05BDDDAR,572.7725636137149
05ECVRTB,1339.8992314682048
05ELVAQP,1168.1297779620015
05FRSXLZ,1904.1068787358267
05G9EFLJ,820.9358939057829
05KMHBW9,1895.3513112867527
05KWM9TL,788.7030668146241
05LAMRQB,908.5402639843045
05LI7PMD,535.5004595196391
05LKANAH,1271.8926632973237
05M1D54K,1157.0483923458148
05ND9UCD,288.4060557722268
05PVL6PQ,1413.4005049172454
05RAX4XJ,1931.462326862087
05RM8HBJ,1637.3477357255617
05UFNNZJ,638.385923355004
05UY00R1,1094.7399678838124
05V8F0KP,1407.032540227645
05W5RJ66,2301.440623103478
05WF3QNZ,1093.3884871360015
05WNG06E,1628.4943836240548
05YTSV8D,673.5285029775173
05Z0H6MV,97.30733857539975
05ZTJ1GM,686.4411679437184
060CJJBV,1049.5854069141951
060D11WT,534.8687911405522
060LVGYO,749.5747411263944
061YTJR4,521.4934521113868
063EUY66,1396.5913790920686
064PH11R,636.7735997609699
065MJ4IQ,1805.2316351399304
067B12E0,1465.9405421207873
